Score :	1.06658244e-05
Parameters:
Name	Value	SE
V1	2.57589972e-05	N/A
Km1	0.252518697	N/A
V2	2.23321021e-05	N/A
Km2	0.09803948	N/A

Time courses used:
TSH2b.txt
TSH2a.txt

Time course TSH2b.txt
time	SDLTSH	pred_SDLTSH	HTA	pred_HTA
0.000000000e+00	1.246154000e-03	1.246154000e-03	2.688000000e-01	2.688000000e-01
1.500000000e+01	1.476923000e-03	1.440815842e-03	NAN	2.686008097e-01
3.000000000e+01	1.492308000e-03	1.634761326e-03	NAN	2.684016909e-01
4.500000000e+01	1.723077000e-03	1.827995287e-03	NAN	2.682026438e-01
6.000000000e+01	1.938462000e-03	2.020522506e-03	NAN	2.680036682e-01
7.500000000e+01	2.307692000e-03	2.212347705e-03	NAN	2.678047643e-01
9.000000000e+01	2.276923000e-03	2.403475552e-03	NAN	2.676059320e-01
1.050000000e+02	2.353846000e-03	2.593910659e-03	NAN	2.674071715e-01
1.200000000e+02	2.538462000e-03	2.783657586e-03	NAN	2.672084827e-01
1.350000000e+02	2.784615000e-03	2.972720836e-03	NAN	2.670098656e-01
1.500000000e+02	2.738462000e-03	3.161104864e-03	NAN	2.668113203e-01
1.650000000e+02	3.215385000e-03	3.348814071e-03	NAN	2.666128468e-01
1.800000000e+02	3.338462000e-03	3.535852807e-03	NAN	2.664144452e-01
1.950000000e+02	3.507692000e-03	3.722225374e-03	NAN	2.662161155e-01
2.100000000e+02	3.707692000e-03	3.907936023e-03	NAN	2.660178576e-01
2.250000000e+02	3.892308000e-03	4.092988958e-03	NAN	2.658196717e-01
2.400000000e+02	4.200000000e-03	4.277388336e-03	NAN	2.656215577e-01
2.550000000e+02	4.292308000e-03	4.461138265e-03	NAN	2.654235157e-01
2.700000000e+02	4.369231000e-03	4.644242810e-03	NAN	2.652255458e-01
2.850000000e+02	4.569231000e-03	4.826705987e-03	NAN	2.650276478e-01
3.000000000e+02	4.830769000e-03	5.008531772e-03	NAN	2.648298220e-01
3.150000000e+02	5.169231000e-03	5.189724092e-03	NAN	2.646320683e-01
3.300000000e+02	5.184615000e-03	5.370286836e-03	NAN	2.644343866e-01
3.450000000e+02	5.430769000e-03	5.550223847e-03	NAN	2.642367772e-01
3.600000000e+02	5.569231000e-03	5.729538926e-03	NAN	2.640392399e-01
3.750000000e+02	5.676923000e-03	5.908235835e-03	NAN	2.638417749e-01
3.900000000e+02	5.907692000e-03	6.086318292e-03	NAN	2.636443821e-01
4.050000000e+02	6.030769000e-03	6.263789978e-03	NAN	2.634470616e-01
4.200000000e+02	6.307692000e-03	6.440654534e-03	NAN	2.632498133e-01
4.350000000e+02	6.369231000e-03	6.616915561e-03	NAN	2.630526375e-01
4.500000000e+02	6.584615000e-03	6.792576622e-03	NAN	2.628555339e-01
4.650000000e+02	6.830769000e-03	6.967641242e-03	NAN	2.626585028e-01
4.800000000e+02	7.092308000e-03	7.142112911e-03	NAN	2.624615441e-01
4.950000000e+02	7.107692000e-03	7.315995079e-03	NAN	2.622646578e-01
5.100000000e+02	7.307692000e-03	7.489291164e-03	NAN	2.620678440e-01
5.250000000e+02	7.707692000e-03	7.662004544e-03	NAN	2.618711028e-01
5.400000000e+02	7.646154000e-03	7.834138565e-03	NAN	2.616744340e-01
5.550000000e+02	7.923077000e-03	8.005696537e-03	NAN	2.614778378e-01
5.700000000e+02	8.030769000e-03	8.176681737e-03	NAN	2.612813142e-01
5.850000000e+02	8.246154000e-03	8.347097408e-03	NAN	2.610848633e-01
6.000000000e+02	8.415385000e-03	8.516946761e-03	NAN	2.608884849e-01
6.150000000e+02	8.615385000e-03	8.686232971e-03	NAN	2.606921793e-01
6.300000000e+02	8.753846000e-03	8.854959185e-03	NAN	2.604959464e-01
6.450000000e+02	8.861538000e-03	9.023128516e-03	NAN	2.602997862e-01
6.600000000e+02	9.076923000e-03	9.190744046e-03	NAN	2.601036987e-01
6.750000000e+02	9.384615000e-03	9.357808826e-03	NAN	2.599076841e-01
6.900000000e+02	9.400000000e-03	9.524325878e-03	NAN	2.597117423e-01
7.050000000e+02	9.738462000e-03	9.690298193e-03	NAN	2.595158733e-01
7.200000000e+02	9.738462000e-03	9.855728732e-03	NAN	2.593200772e-01
7.350000000e+02	9.969231000e-03	1.002062043e-02	NAN	2.591243540e-01
7.500000000e+02	1.026153800e-02	1.018497618e-02	NAN	2.589287038e-01
7.650000000e+02	1.027692300e-02	1.034879888e-02	NAN	2.587331265e-01
7.800000000e+02	1.067692300e-02	1.051209135e-02	NAN	2.585376222e-01
7.950000000e+02	1.053846200e-02	1.067485643e-02	NAN	2.583421909e-01
8.100000000e+02	1.076923100e-02	1.083709690e-02	NAN	2.581468327e-01
8.250000000e+02	1.080000000e-02	1.099881554e-02	NAN	2.579515475e-01
8.400000000e+02	1.100000000e-02	1.116001507e-02	NAN	2.577563355e-01
8.550000000e+02	1.107692300e-02	1.132069822e-02	NAN	2.575611966e-01
8.700000000e+02	1.129230800e-02	1.148086768e-02	NAN	2.573661309e-01
8.850000000e+02	1.169230800e-02	1.164052609e-02	NAN	2.571711383e-01
9.000000000e+02	1.175384600e-02	1.179967610e-02	NAN	2.569762190e-01
9.150000000e+02	1.178461500e-02	1.195832033e-02	NAN	2.567813729e-01
9.300000000e+02	1.184615400e-02	1.211646135e-02	NAN	2.565866001e-01
9.450000000e+02	1.221538500e-02	1.227410174e-02	NAN	2.563919006e-01
9.600000000e+02	1.235384600e-02	1.243124403e-02	NAN	2.561972745e-01
9.750000000e+02	1.247692300e-02	1.258789074e-02	NAN	2.560027217e-01
9.900000000e+02	1.266153800e-02	1.274404436e-02	NAN	2.558082423e-01
1.005000000e+03	1.281538500e-02	1.289970737e-02	NAN	2.556138363e-01
1.020000000e+03	1.281538500e-02	1.305488220e-02	NAN	2.554195038e-01
1.035000000e+03	1.312307700e-02	1.320957129e-02	NAN	2.552252448e-01
1.050000000e+03	1.330769200e-02	1.336377703e-02	NAN	2.550310592e-01
1.065000000e+03	1.356923100e-02	1.351750181e-02	NAN	2.548369472e-01
1.080000000e+03	1.366153800e-02	1.367074800e-02	NAN	2.546429088e-01
1.095000000e+03	1.375384600e-02	1.382351792e-02	NAN	2.544489439e-01
1.110000000e+03	1.383076900e-02	1.397581389e-02	NAN	2.542550527e-01
1.125000000e+03	1.404615400e-02	1.412763821e-02	NAN	2.540612351e-01
1.140000000e+03	1.424615400e-02	1.427899317e-02	NAN	2.538674912e-01
1.155000000e+03	1.444615400e-02	1.442988100e-02	NAN	2.536738210e-01
1.170000000e+03	1.450769200e-02	1.458030396e-02	NAN	2.534802245e-01
1.185000000e+03	1.461538500e-02	1.473026426e-02	NAN	2.532867018e-01
1.200000000e+03	1.487692300e-02	1.487976409e-02	NAN	2.530932529e-01
1.215000000e+03	1.490769200e-02	1.502880563e-02	NAN	2.528998778e-01
1.230000000e+03	1.506153800e-02	1.517739105e-02	NAN	2.527065765e-01
1.245000000e+03	1.527692300e-02	1.532552248e-02	NAN	2.525133492e-01
1.260000000e+03	1.555384600e-02	1.547320204e-02	NAN	2.523201957e-01
1.275000000e+03	1.544615400e-02	1.562043184e-02	NAN	2.521271161e-01
1.290000000e+03	1.561538500e-02	1.576721397e-02	NAN	2.519341105e-01
