Score :	5.29686004e-05
Parameters:
Name	Value	SE
Vmax	1.04822677e-05	N/A
KmNADPH	0.00329366488	N/A
KmMG	0.778790145	N/A

Time courses used:
10.txt
1.txt
2.txt
3.txt
4.txt



Time course 10.txt
time	NADPH	pred_NADPH	MG	pred_MG
0.000000000e+00	1.509646300e-02	1.509646300e-02	5.000000000e+00	5.000000000e+00
2.000000000e+01	1.492650400e-02	1.494769063e-02	NAN	4.999851228e+00
4.000000000e+01	1.490124000e-02	1.479918574e-02	NAN	4.999702723e+00
6.000000000e+01	1.458658700e-02	1.465095224e-02	NAN	4.999554489e+00
8.000000000e+01	1.454524600e-02	1.450299411e-02	NAN	4.999406531e+00
1.000000000e+02	1.429490100e-02	1.435531540e-02	NAN	4.999258852e+00
1.200000000e+02	1.409278800e-02	1.420792027e-02	NAN	4.999111457e+00
1.400000000e+02	1.392283000e-02	1.406081293e-02	NAN	4.998964350e+00
1.600000000e+02	1.373679400e-02	1.391399771e-02	NAN	4.998817535e+00
1.800000000e+02	1.366329800e-02	1.376747899e-02	NAN	4.998671016e+00
2.000000000e+02	1.325218200e-02	1.362126127e-02	NAN	4.998524798e+00
2.200000000e+02	1.309830000e-02	1.347534912e-02	NAN	4.998378886e+00
2.400000000e+02	1.313734500e-02	1.332974722e-02	NAN	4.998233284e+00
2.600000000e+02	1.288700000e-02	1.318446033e-02	NAN	4.998087997e+00
2.800000000e+02	1.273311900e-02	1.303949333e-02	NAN	4.997943030e+00
3.000000000e+02	1.262746900e-02	1.289485119e-02	NAN	4.997798388e+00
3.200000000e+02	1.245751000e-02	1.275053897e-02	NAN	4.997654076e+00
3.400000000e+02	1.207854800e-02	1.260656184e-02	NAN	4.997510099e+00
3.600000000e+02	1.194074400e-02	1.246292511e-02	NAN	4.997366462e+00
3.800000000e+02	1.193155700e-02	1.231963414e-02	NAN	4.997223171e+00
4.000000000e+02	1.180983000e-02	1.217669447e-02	NAN	4.997080231e+00
4.200000000e+02	1.162379400e-02	1.203411170e-02	NAN	4.996937649e+00
4.400000000e+02	1.145383600e-02	1.189189159e-02	NAN	4.996795429e+00
4.600000000e+02	1.136426300e-02	1.175003999e-02	NAN	4.996653577e+00
4.800000000e+02	1.114607300e-02	1.160856289e-02	NAN	4.996512100e+00
5.000000000e+02	1.113688600e-02	1.146746641e-02	NAN	4.996371003e+00
5.200000000e+02	1.090261800e-02	1.132675679e-02	NAN	4.996230294e+00
5.400000000e+02	1.070050500e-02	1.118644041e-02	NAN	4.996089977e+00
5.600000000e+02	1.062701000e-02	1.104652377e-02	NAN	4.995950061e+00
5.800000000e+02	1.053743700e-02	1.090701354e-02	NAN	4.995810551e+00
6.000000000e+02	1.038355500e-02	1.076791651e-02	NAN	4.995671454e+00
6.200000000e+02	1.016536500e-02	1.062923962e-02	NAN	4.995532777e+00
6.400000000e+02	1.009187000e-02	1.049098996e-02	NAN	4.995394527e+00
6.600000000e+02	9.889757000e-03	1.035317478e-02	NAN	4.995256712e+00
6.800000000e+02	9.768029000e-03	1.021580147e-02	NAN	4.995119338e+00
7.000000000e+02	9.726688000e-03	1.007887760e-02	NAN	4.994982415e+00
7.200000000e+02	9.653192000e-03	9.942410876e-03	NAN	4.994845948e+00
7.400000000e+02	9.435002000e-03	9.806409192e-03	NAN	4.994709946e+00
7.600000000e+02	9.361507000e-03	9.670880607e-03	NAN	4.994574418e+00
7.800000000e+02	9.111162000e-03	9.535833352e-03	NAN	4.994439370e+00
8.000000000e+02	9.134130000e-03	9.401275836e-03	NAN	4.994304813e+00
8.200000000e+02	9.060634000e-03	9.267216647e-03	NAN	4.994170754e+00
8.400000000e+02	8.922830000e-03	9.133664561e-03	NAN	4.994037202e+00
8.600000000e+02	8.833257000e-03	9.000628542e-03	NAN	4.993904166e+00
8.800000000e+02	8.518604000e-03	8.868117745e-03	NAN	4.993771655e+00
9.000000000e+02	8.638034000e-03	8.736141521e-03	NAN	4.993639679e+00
9.200000000e+02	8.548461000e-03	8.604709421e-03	NAN	4.993508246e+00
9.400000000e+02	8.394580000e-03	8.473831200e-03	NAN	4.993377368e+00
9.600000000e+02	8.192467000e-03	8.343516821e-03	NAN	4.993247054e+00
9.800000000e+02	8.054662000e-03	8.213776457e-03	NAN	4.993117313e+00
1.000000000e+03	7.949012000e-03	8.084620494e-03	NAN	4.992988157e+00
1.020000000e+03	7.891594000e-03	7.956059537e-03	NAN	4.992859597e+00
1.040000000e+03	7.753790000e-03	7.828104412e-03	NAN	4.992731641e+00
1.060000000e+03	7.583831000e-03	7.700766173e-03	NAN	4.992604303e+00
1.080000000e+03	7.590721000e-03	7.574056098e-03	NAN	4.992477593e+00
1.100000000e+03	7.452917000e-03	7.447985699e-03	NAN	4.992351523e+00
1.120000000e+03	7.411576000e-03	7.322566719e-03	NAN	4.992226104e+00
1.140000000e+03	7.322003000e-03	7.197811139e-03	NAN	4.992101348e+00
1.160000000e+03	7.232430000e-03	7.073731182e-03	NAN	4.991977268e+00
1.180000000e+03	7.078548000e-03	6.950339308e-03	NAN	4.991853876e+00
1.200000000e+03	7.165825000e-03	6.827648223e-03	NAN	4.991731185e+00
1.220000000e+03	7.011943000e-03	6.705670881e-03	NAN	4.991609208e+00
1.240000000e+03	6.922370000e-03	6.584420483e-03	NAN	4.991487957e+00
1.260000000e+03	6.832797000e-03	6.463910474e-03	NAN	4.991367447e+00
1.280000000e+03	6.759302000e-03	6.344154549e-03	NAN	4.991247692e+00
1.300000000e+03	6.717960000e-03	6.225166653e-03	NAN	4.991128704e+00
1.320000000e+03	6.451539000e-03	6.106960979e-03	NAN	4.991010498e+00
1.340000000e+03	6.490583000e-03	5.989551971e-03	NAN	4.990893089e+00
1.360000000e+03	6.368856000e-03	5.872954318e-03	NAN	4.990776491e+00
1.380000000e+03	6.359669000e-03	5.757182951e-03	NAN	4.990660720e+00
1.400000000e+03	6.141479000e-03	5.642253049e-03	NAN	4.990545790e+00
1.420000000e+03	6.212678000e-03	5.528180024e-03	NAN	4.990431717e+00
1.440000000e+03	6.026642000e-03	5.414979526e-03	NAN	4.990318517e+00
1.460000000e+03	6.033532000e-03	5.302667435e-03	NAN	4.990206204e+00

Time course 1.txt
