Score :	1.06658244e-05
Parameters:
Name	Value	SE
V1	2.57589972e-05	N/A
Km1	0.252518697	N/A
V2	2.23321021e-05	N/A
Km2	0.09803948	N/A

Time courses used:
TSH2b.txt
TSH2a.txt

Time course TSH2b.txt
time	SDLTSH	pred_SDLTSH	HTA	pred_HTA
0.000000000e+00	1.246154000e-03	1.246154000e-03	2.688000000e-01	2.688000000e-01
1.500000000e+01	1.476923000e-03	1.440815842e-03	NAN	2.686008097e-01
3.000000000e+01	1.492308000e-03	1.634761326e-03	NAN	2.684016909e-01
4.500000000e+01	1.723077000e-03	1.827995287e-03	NAN	2.682026438e-01
6.000000000e+01	1.938462000e-03	2.020522506e-03	NAN	2.680036682e-01
7.500000000e+01	2.307692000e-03	2.212347705e-03	NAN	2.678047643e-01
9.000000000e+01	2.276923000e-03	2.403475552e-03	NAN	2.676059320e-01
1.050000000e+02	2.353846000e-03	2.593910659e-03	NAN	2.674071715e-01
1.200000000e+02	2.538462000e-03	2.783657586e-03	NAN	2.672084827e-01
1.350000000e+02	2.784615000e-03	2.972720836e-03	NAN	2.670098656e-01
1.500000000e+02	2.738462000e-03	3.161104864e-03	NAN	2.668113203e-01
1.650000000e+02	3.215385000e-03	3.348814071e-03	NAN	2.666128468e-01
1.800000000e+02	3.338462000e-03	3.535852807e-03	NAN	2.664144452e-01
1.950000000e+02	3.507692000e-03	3.722225374e-03	NAN	2.662161155e-01
2.100000000e+02	3.707692000e-03	3.907936023e-03	NAN	2.660178576e-01
2.250000000e+02	3.892308000e-03	4.092988958e-03	NAN	2.658196717e-01
2.400000000e+02	4.200000000e-03	4.277388336e-03	NAN	2.656215577e-01
2.550000000e+02	4.292308000e-03	4.461138265e-03	NAN	2.654235157e-01
2.700000000e+02	4.369231000e-03	4.644242810e-03	NAN	2.652255458e-01
2.850000000e+02	4.569231000e-03	4.826705987e-03	NAN	2.650276478e-01
3.000000000e+02	4.830769000e-03	5.008531772e-03	NAN	2.648298220e-01
3.150000000e+02	5.169231000e-03	5.189724092e-03	NAN	2.646320683e-01
3.300000000e+02	5.184615000e-03	5.370286836e-03	NAN	2.644343866e-01
3.450000000e+02	5.430769000e-03	5.550223847e-03	NAN	2.642367772e-01
3.600000000e+02	5.569231000e-03	5.729538926e-03	NAN	2.640392399e-01
3.750000000e+02	5.676923000e-03	5.908235835e-03	NAN	2.638417749e-01
3.900000000e+02	5.907692000e-03	6.086318292e-03	NAN	2.636443821e-01
4.050000000e+02	6.030769000e-03	6.263789978e-03	NAN	2.634470616e-01
4.200000000e+02	6.307692000e-03	6.440654534e-03	NAN	2.632498133e-01
4.350000000e+02	6.369231000e-03	6.616915561e-03	NAN	2.630526375e-01
4.500000000e+02	6.584615000e-03	6.792576622e-03	NAN	2.628555339e-01

Time course TSH2a.txt
time	SDLTSH	pred_SDLTSH	HTA	pred_HTA
0.000000000e+00	7.692310000e-05	7.692310000e-05	1.357000000e-01	1.357000000e-01
1.500000000e+01	0.000000000e+00	2.114463770e-04	NAN	1.355649847e-01
3.000000000e+01	1.384620000e-04	3.454254770e-04	NAN	1.354300568e-01
4.500000000e+01	2.615380000e-04	4.788634798e-04	NAN	1.352952164e-01
6.000000000e+01	2.000000000e-04	6.117634350e-04	NAN	1.351604634e-01
7.500000000e+01	4.307690000e-04	7.441283625e-04	NAN	1.350257979e-01
9.000000000e+01	5.692310000e-04	8.759612524e-04	NAN	1.348912198e-01
1.050000000e+02	7.538460000e-04	1.007265066e-03	NAN	1.347567292e-01
1.200000000e+02	9.692310000e-04	1.138042736e-03	NAN	1.346223261e-01
1.350000000e+02	9.692310000e-04	1.268297166e-03	NAN	1.344880104e-01
1.500000000e+02	1.138462000e-03	1.398031234e-03	NAN	1.343537822e-01
1.650000000e+02	1.200000000e-03	1.527247786e-03	NAN	1.342196414e-01
1.800000000e+02	1.446154000e-03	1.655949646e-03	NAN	1.340855882e-01
1.950000000e+02	1.569231000e-03	1.784139608e-03	NAN	1.339516224e-01
2.100000000e+02	1.784615000e-03	1.911820440e-03	NAN	1.338177441e-01
2.250000000e+02	1.846154000e-03	2.038994885e-03	NAN	1.336839533e-01
2.400000000e+02	1.861538000e-03	2.165665659e-03	NAN	1.335502500e-01
2.550000000e+02	2.076923000e-03	2.291835453e-03	NAN	1.334166342e-01
2.700000000e+02	2.230769000e-03	2.417506933e-03	NAN	1.332831058e-01
2.850000000e+02	2.261538000e-03	2.542682742e-03	NAN	1.331496650e-01
3.000000000e+02	2.430769000e-03	2.667365495e-03	NAN	1.330163117e-01
3.150000000e+02	2.538462000e-03	2.791557786e-03	NAN	1.328830459e-01
3.300000000e+02	2.707692000e-03	2.915262184e-03	NAN	1.327498676e-01
3.450000000e+02	2.800000000e-03	3.038481234e-03	NAN	1.326167768e-01
3.600000000e+02	2.984615000e-03	3.161217460e-03	NAN	1.324837736e-01
3.750000000e+02	3.215385000e-03	3.283473360e-03	NAN	1.323508578e-01
3.900000000e+02	3.276923000e-03	3.405251412e-03	NAN	1.322180296e-01
4.050000000e+02	3.323077000e-03	3.526554071e-03	NAN	1.320852889e-01
4.200000000e+02	3.461538000e-03	3.647383769e-03	NAN	1.319526357e-01
4.350000000e+02	3.630769000e-03	3.767742918e-03	NAN	1.318200701e-01
4.500000000e+02	3.769231000e-03	3.887633907e-03	NAN	1.316875920e-01

